ModelName,meanCELoss_tr,stdCELoss_tr,meanCELoss_te,stdCELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_tr
relu,0.3704,0.08433,0.06236,0.03124,98.12,1.079,97.29,1.226
tanh,0.5058,0.08386,0.05917,0.0256,97.92,0.901,97.41,1.081
relu,0.3625,0.08734,0.05034,0.02196,98.42,0.9956,98.0,0.8976
tanh,0.5008,0.07859,0.05329,0.019,98.04,0.9714,97.79,0.8783
relu with momentum,0.3375,0.07753,0.05198,0.02245,98.49,0.9313,97.82,0.7594
tanh with momentum,0.4476,0.08016,0.05336,0.01801,97.99,0.956,97.62,0.7569
