ModelName,meanMSELoss_tr,stdMSELoss_tr,meanMSELoss_te,stdMSELoss_te,meanAccuracy_tr,stdAccuracy_tr,meanAccuracy_te,stdAccuracy_tr
relu,0.2596,0.1088,0.02978,0.01197,98.43,0.9588,97.61,1.083
tanh,0.443,0.05315,0.04718,0.004893,97.49,0.9851,96.93,0.9554
relu with momentum,0.2426,0.1132,0.02811,0.01153,98.55,0.6763,97.65,0.7273
tanh with momentum,0.3906,0.04446,0.0416,0.004745,97.97,0.614,97.53,0.8579
